Identificatiodepth   NO3     NO2     NH4     Si      PO4
513/3_5           150    26.8    0.20    1.28    24.0    1.94
513/3_3           200    30.3    0.11    0.29    30.6    2.14
513/3_1           250    32.2    0.02    0.00    35.7    2.27
513/5_24           10    23.7    0.18    0.23    13.8    1.56
513/5_15           20    23.7    0.18    0.17    13.8    1.56
513/5_13           30    23.7    0.18    0.23    13.8    1.58
513/5_11           40    24.1    0.18    0.31    13.8    1.62
513/5_09           50    24.5    0.18    0.54    14.4    1.65
513/5_07           60    24.4    0.18    0.57    14.4    1.64
513/5_05           80    24.5    0.18    0.67    14.8    1.65
513/5_04          100    24.8    0.19    0.96    16.4    1.68
513/5_03          120    25.5    0.19    1.19    19.6    1.80
513/5_02          150    28.0    0.18    1.04    26.3    1.97
513/12_24          10    23.7    0.18    0.17    13.7    1.57
513/12_22          30    23.7    0.19    0.18    13.7    1.57
513/12_21          60    24.1    0.19    0.33    13.9    1.63
513/12_20         100    24.4    0.19    0.59    14.6    1.68
513/12_17         130    24.9    0.19    1.00    17.6    1.79
513/12_14         160    27.9    0.19    1.02    26.3    2.03
513/12_13         200    30.2    0.11    0.36    30.4    3.79
513/12_12         250    33.3    0.02    0.02    40.6    2.42
513/12_09         300    35.3    0.02    0.00    50.7    2.57
513/12_08         350    36.7    0.02    0.00    59.6    2.68
513/12_07         400    37.1    0.01    0.00    64.9    2.68
513/12_06         450    37.2    0.01    0.00    68.0    2.73
513/12_05         500    37.3    0.01    0.01    71.1    2.74
513/12_04         600    36.7    0.01    0.01    75.8    2.73
513/12_03         700    36.2    0.01    0.01    79.2    2.67
513/12_02         800    35.8    0.01    0.01    81.0    2.64
513/12_01        1000    34.4    0.01    0.02    81.5    2.70
513/16_24         100    24.5    0.19    0.74    15.1    1.74
513/16_23         120    24.9    0.19    1.08    17.8    1.79
513/16_21         150    27.0    0.20    1.26    24.0    1.99
513/16_16         200    30.5    0.10    0.38    30.3    2.18
513/16_12         250    33.4    0.02    0.03    38.9    2.38
513/16_07         350    36.7    0.02    0.02    55.4    2.65
513/16_01         450    37.9    0.01    0.03    66.8    2.74
514/2_24           10    24.1    0.18    0.58     9.2    1.74
514/2_22           20    24.0    0.18    0.59     9.1    1.73
514/2_21           20    24.1    0.18    0.57     9.1    1.72
514/2_20           30    24.0    0.18    0.58     9.1    1.71
514/2_17           40    24.0    0.18    0.61     9.1    1.72
514/2_15           60    24.0    0.18    0.57     9.3    1.71
514/2_13           80    24.7    0.19    1.01    12.9    1.81
514/2_11           90    24.8    0.19    1.02    13.2    1.81
