Station,cast,stationcast,days after fertilization,0-100,100-200,200-300,300-400,400-500,500-1000,1000-2000,2000-3000,in(1)/out(0)/others(2/3/10)
559,1,55901,28.78194444,12.5092,4.5525,1.5687,1.109,0.6802,nan,nan,nan,1
560,2,56002,28.88402778,12.5207,4.255,1.5336,0.9927,0.6672,nan,nan,nan,1
561,1,56101,28.95277778,8.6682,4.5659,1.4382,0.9809,0.6562,nan,nan,nan,2
562,2,56202,29.02916667,7.4996,3.7448,1.6011,1.1665,0.7362,nan,nan,nan,0
563,1,56301,29.10833333,9.0347,4.2384,1.6036,1.0631,0.6413,nan,nan,nan,2
564,1,56401,29.19166667,6.7372,3.3485,1.4277,0.9923,0.6682,nan,nan,nan,0
565,1,56501,29.27847222,9.3267,4.4049,1.6978,1.1166,0.6748,nan,nan,nan,2
570,2,57002,30.14375,12.9885,4.1914,1.6745,1.1223,0.7477,2.7609,2.5218,2.2207,1
570,4,57004,30.25,13.4851,4.523,1.6783,1.1146,0.8032,nan,nan,nan,1
570,11,57011,30.45833333,12.6846,4.3519,1.5616,1.0576,0.7256,nan,nan,nan,1
570,14,57014,30.52152778,12.0481,3.7503,1.4973,1.1352,0.6678,nan,nan,nan,1
570,15,57015,30.61736111,12.4022,3.7052,1.5794,1.1017,0.7639,nan,nan,nan,1
572,1,57201,30.69027778,12.5393,4.0702,1.4516,0.9668,0.6782,nan,nan,nan,1
573,1,57301,30.74305556,11.5743,4.7371,1.612,1.1404,0.7003,nan,nan,nan,2
574,1,57401,30.79375,10.1591,4.4973,1.5911,1.0876,0.7109,nan,nan,nan,2
580,2,58002,32.11041667,12.4097,5.0025,1.7783,1.2524,0.8501,nan,nan,nan,1
580,10,58010,32.32430556,12.7683,4.4944,1.7466,1.2724,0.7736,nan,nan,nan,1
580,12,58012,32.41666667,12.487,3.7604,1.7456,1.2606,0.8577,nan,nan,nan,1
580,14,58014,32.51875,13.5196,6.8232,1.9604,1.3433,0.8952,nan,nan,nan,1
580,18,58018,32.64166667,12.3934,4.3956,1.7132,1.2147,0.8637,3.1059,2.826,2.0974,1
581,1,58101,32.80833333,9.3211,3.8243,1.6332,1.2439,0.8601,2.9003,3.1386,2.2163,2
583,1,58301,33.05625,11.0293,5.7217,1.9244,1.5202,1.0173,3.7202,4.1015,3.0551,2
584,1,58401,33.20763889,6.815,3.2097,1.6643,1.2214,0.8289,3.018,3.6049,2.9756,0
585,1,58501,33.36597222,6.8085,2.8201,1.4147,1.113,0.8104,2.8844,3.4824,2.9783,0
586,3,58603,33.60972222,11.9379,4.6249,1.7155,1.3678,1.0141,nan,nan,nan,1
587,1,58701,33.75277778,5.9994,2.7458,1.5342,1.2199,0.8964,nan,nan,nan,0
587,10,58710,34.00347222,6.0814,2.9442,1.5673,1.1187,0.7774,nan,nan,nan,0
587,14,58714,34.07291667,6.2952,3.8581,1.6879,1.27,0.9438,nan,nan,nan,0
587,15,58715,34.15902778,6.6809,3.4373,1.7343,1.3227,1.0176,nan,nan,nan,0
587,16,58716,34.26319444,6.5386,3.2761,1.6755,1.3295,0.9698,3.3758,4.035,3.2686,0
588,1,58801,34.40138889,5.135,2.4871,1.501,1.4053,0.8942,nan,nan,nan,0
589,1,58901,34.73402778,6.6202,1.9153,0.6151,0.9114,0.6424,nan,nan,nan,3
590,1,59001,34.92638889,6.2693,2.2534,0.7577,0.7356,0.5278,nan,nan,nan,2
591,1,59101,35.27986111,11.589,4.4174,1.7376,1.268,0.9192,nan,nan,nan,1
591,7,59107,35.44652778,11.9951,5.3173,1.8797,1.4072,1.0368,nan,nan,nan,1
591,11,59111,35.62638889,12.6107,4.6272,1.9909,1.5096,1.0478,4.0672,4.4324,3.6681,1
592,1,59201,35.83333333,9.7731,4.4043,1.7498,1.2036,0.9472,nan,nan,nan,2
593,3,59303,35.97986111,11.512,4.6341,2.069,1.5851,1.125,nan,nan,nan,1
593,6,59306,36.05,13.5947,5.31,2.0346,1.4355,1.0886,nan,nan,nan,1
593,9,59309,36.13680556,10.9452,5.1369,1.9089,1.3532,1.0426,nan,nan,nan,1
593,12,59312,36.24236111,10.3604,3.742,1.8697,1.4311,1.0159,nan,nan,nan,1
593,14,59314,36.38958333,11.5494,4.667,1.9119,1.5297,1.1187,4.1135,5.2682,4.3068,1
593,17,59317,36.58194444,10.4619,4.8064,1.7393,1.2412,0.9773,4.115,5.6428,4.6414,1
593,18,59318,36.70763889,9.9836,3.0344,1.8552,1.5426,1.1542,nan,nan,nan,1
