                       UTC	     Lon	     Lat	  TdTdTd
Feb 10 2004 12:00:00:000PM	     3.3	   -49.5	    -0.1	
Feb 10 2004  3:00:00:000PM	     3.1	   -49.8	     0.2	
Feb 10 2004  6:00:00:000PM	     2.6	   -49.9	     1.0	
Feb 10 2004  9:00:00:000PM	     2.3	   -49.6	     1.1	
Feb 11 2004 12:00:00:000AM	     2.4	   -49.5	    -0.1	
Feb 11 2004  3:00:00:000AM	     2.4	   -49.6	     0.5	
Feb 11 2004  6:00:00:000AM	     2.3	   -49.6	    -1.2	
Feb 11 2004  9:00:00:000AM	     2.2	   -49.5	    -0.5	
Feb 11 2004 12:00:00:000PM	     2.2	   -49.4	     1.0	
Feb 11 2004  3:00:00:000PM	     2.2	   -49.3	     1.9	
Feb 11 2004  6:00:00:000PM	     2.2	   -49.3	     3.0	
Feb 11 2004  9:00:00:000PM	     2.2	   -49.4	     3.7	
Feb 12 2004 12:00:00:000AM	     2.2	   -49.4	     3.2	
Feb 12 2004  3:00:00:000AM	     2.2	   -49.4	     3.7	
Feb 12 2004  6:00:00:000AM	     2.2	   -49.4	     4.0	
Feb 12 2004  9:00:00:000AM	     2.2	   -49.4	     4.1	
Feb 12 2004 12:00:00:000PM	     2.2	   -49.3	     4.2	
Feb 12 2004  3:00:00:000PM	     2.2	   -49.4	     4.4	
Feb 12 2004  6:00:00:000PM	     2.2	   -49.4	     4.4	
Feb 12 2004  9:00:00:000PM	     2.2	   -49.4	     4.3	
Feb 13 2004 12:00:00:000AM	     2.2	   -49.4	     3.1	
Feb 13 2004  3:00:00:000AM	     2.3	   -49.3	     2.8	
Feb 13 2004  6:00:00:000AM	     2.3	   -49.4	     1.1	
Feb 13 2004  9:00:00:000AM	     2.2	   -49.5	    -0.9	
Feb 13 2004 12:00:00:000PM	     2.2	   -49.4	     0.9	
Feb 13 2004  3:00:00:000PM	     2.2	   -49.4	     1.0	
Feb 13 2004  6:00:00:000PM	     2.1	   -49.3	     0.6	
Feb 13 2004  9:00:00:000PM	     2.1	   -49.2	     0.1	
Feb 14 2004 12:00:00:000AM	     2.1	   -49.2	     0.1	
Feb 14 2004  3:00:00:000AM	     1.8	   -49.0	     0.3	
Feb 14 2004  6:00:00:000AM	     1.3	   -48.7	    -0.4	
Feb 14 2004  9:00:00:000AM	     1.3	   -49.1	    -0.9	
Feb 14 2004 12:00:00:000PM	     1.3	   -49.3	    -4.3	
Feb 14 2004  3:00:00:000PM	     1.3	   -49.6	    -1.9	
Feb 14 2004  6:00:00:000PM	     1.3	   -49.9	    -3.7	
Feb 14 2004  9:00:00:000PM	     1.3	   -50.2	    -1.6	
Feb 15 2004 12:00:00:000AM	     1.3	   -50.4	    -3.2	
Feb 15 2004  3:00:00:000AM	     1.6	   -50.6	    -2.6	
Feb 15 2004  6:00:00:000AM	     1.6	   -50.2	    -1.2	
Feb 15 2004  9:00:00:000AM	     1.6	   -49.8	        	
Feb 15 2004 12:00:00:000PM	     1.6	   -49.5	     0.3	
Feb 15 2004  3:00:00:000PM	     1.6	   -49.3	     1.2	
Feb 15 2004  6:00:00:000PM	     1.6	   -49.0	     1.5	
Feb 15 2004  9:00:00:000PM	     1.7	   -48.7	     3.2	
Feb 16 2004 12:00:00:000AM	     1.9	   -48.9	     2.5	
Feb 16 2004  3:00:00:000AM	     1.9	   -49.2	     0.5	
Feb 16 2004  6:00:00:000AM	     1.9	   -49.5	    -1.7	
Feb 16 2004  9:00:00:000AM	     1.9	   -49.7	    -3.1	
Feb 16 2004 12:00:00:000PM	     1.9	   -49.9	    -2.2	
Feb 16 2004  3:00:00:000PM	     1.9	   -50.3	    -2.4	
Feb 16 2004  6:00:00:000PM	     1.9	   -50.5	    -2.5	
Feb 16 2004  9:00:00:000PM	     2.2	   -50.5	    -1.9	
Feb 17 2004 12:00:00:000AM	     2.2	   -50.3	    -1.1	
Feb 17 2004  3:00:00:000AM	     2.2	   -50.1	    -0.3	
Feb 17 2004  6:00:00:000AM	     2.2	   -49.9	     2.8	
Feb 17 2004  9:00:00:000AM	     2.2	   -49.7	     3.6	
Feb 17 2004 12:00:00:000PM	     2.2	   -49.4	     4.6	
Feb 17 2004  3:00:00:000PM	     2.2	   -49.2	     5.4	
Feb 17 2004  6:00:00:000PM	     2.2	   -49.0	     6.6	
Feb 17 2004  9:00:00:000PM	     2.2	   -48.8	     7.2	
Feb 18 2004 12:00:00:000AM	     2.3	   -48.8	     7.2	
Feb 18 2004  3:00:00:000AM	     2.5	   -49.0	     5.5	
Feb 18 2004  6:00:00:000AM	     2.5	   -49.3	     3.8	
Feb 18 2004  9:00:00:000AM	     2.5	   -49.6	     3.4	
Feb 18 2004 12:00:00:000PM	     2.5	   -50.0	     3.8	
Feb 18 2004  3:00:00:000PM	     2.5	   -50.3	     3.1	
Feb 18 2004  6:00:00:000PM	     2.6	   -50.6	     2.8	
Feb 18 2004  9:00:00:000PM	     2.8	   -50.3	     2.1	
Feb 19 2004 12:00:00:000AM	     2.8	   -49.9	     3.0	
Feb 19 2004  3:00:00:000AM	     2.8	   -49.8	     3.1	
Feb 19 2004  6:00:00:000AM	     2.8	   -49.5	     3.7	
Feb 19 2004  9:00:00:000AM	     2.8	   -49.4	     4.2	
Feb 19 2004 12:00:00:000PM	     2.8	   -49.1	     5.0	
Feb 19 2004  3:00:00:000PM	     2.8	   -48.8	     6.1	
Feb 19 2004  6:00:00:000PM	     3.1	   -48.9	     5.3	
Feb 19 2004  9:00:00:000PM	     3.1	   -49.4	     4.5	
Feb 20 2004 12:00:00:000AM	     3.1	   -49.8	     4.7	
Feb 20 2004  3:00:00:000AM	     3.1	   -50.1	     4.4	
Feb 20 2004  6:00:00:000AM	     3.1	   -50.5	     4.2	
Feb 20 2004  9:00:00:000AM	     3.4	   -50.4	     4.5	
Feb 20 2004 12:00:00:000PM	     3.4	   -50.0	     4.7	
Feb 20 2004  3:00:00:000PM	     3.4	   -49.7	     5.2	
Feb 20 2004  6:00:00:000PM	     3.4	   -49.3	     5.8	
Feb 20 2004  9:00:00:000PM	     3.4	   -49.0	     5.8	
Feb 21 2004 12:00:00:000AM	     3.3	   -48.8	     4.5	
Feb 21 2004  3:00:00:000AM	     2.8	   -49.1	    -0.3	
Feb 21 2004  6:00:00:000AM	     2.5	   -49.2	    -3.5	
Feb 21 2004  9:00:00:000AM	     2.2	   -49.4	    -0.7	
Feb 21 2004 12:00:00:000PM	     1.8	   -49.5	    -4.2	
Feb 21 2004  3:00:00:000PM	     1.9	   -49.4	    -2.5	
Feb 21 2004  6:00:00:000PM	     2.4	   -49.2	    -1.2	
Feb 21 2004  9:00:00:000PM	     2.1	   -49.2	    -0.1	
Feb 22 2004 12:00:00:000AM	     1.8	   -49.1	     1.2	
Feb 22 2004  3:00:00:000AM	     2.0	   -49.3	     2.1	
Feb 22 2004  6:00:00:000AM	     1.8	   -49.2	     2.7	
Feb 22 2004  9:00:00:000AM	     2.0	   -49.1	     3.0	
Feb 22 2004 12:00:00:000PM	     2.0	   -49.1	     3.7	
Feb 22 2004  3:00:00:000PM	     2.0	   -49.1	     4.1	
Feb 22 2004  6:00:00:000PM	     2.0	   -49.1	     4.7	
Feb 22 2004  9:00:00:000PM	     2.0	   -49.2	     5.0	
Feb 23 2004 12:00:00:000AM	     2.1	   -49.1	     5.0	
Feb 23 2004  3:00:00:000AM	     2.1	   -49.0	     4.8	
Feb 23 2004  6:00:00:000AM	     2.0	   -49.0	     4.5	
Feb 23 2004  9:00:00:000AM	     2.0	   -49.0	     4.6	
Feb 23 2004 12:00:00:000PM	     2.0	   -49.0	     4.2	
Feb 23 2004  3:00:00:000PM	     2.0	   -48.9	     3.4	
Feb 23 2004  6:00:00:000PM	     2.2	   -49.1	     2.1	
Feb 23 2004  9:00:00:000PM	     2.2	   -49.1	     1.9	
Feb 24 2004 12:00:00:000AM	     2.0	   -49.1	     1.8	
Feb 24 2004  3:00:00:000AM	     2.0	   -49.2	     1.6	
Feb 24 2004  6:00:00:000AM	     2.5	   -49.2	     1.0	
Feb 24 2004  9:00:00:000AM	     2.0	   -49.2	    -0.5	
Feb 24 2004 12:00:00:000PM	     2.3	   -49.3	    -0.3	
Feb 24 2004  3:00:00:000PM	     2.3	   -49.4	     1.7	
Feb 24 2004  6:00:00:000PM	     2.3	   -49.2	     2.8	
Feb 24 2004  9:00:00:000PM	     2.3	   -49.3	     4.0	
Feb 25 2004 12:00:00:000AM	     2.3	   -49.3	     4.4	
Feb 25 2004  3:00:00:000AM	     2.4	   -49.3	     4.7	
Feb 25 2004  6:00:00:000AM	     2.4	   -49.3	     4.5	
Feb 25 2004  9:00:00:000AM	     2.2	   -49.2	     5.4	
Feb 25 2004 12:00:00:000PM	     2.6	   -49.2	     5.3	
Feb 25 2004  3:00:00:000PM	     2.5	   -49.3	     3.8	
Feb 25 2004  6:00:00:000PM	     2.2	   -49.4	     3.3	
Feb 25 2004  9:00:00:000PM	     2.7	   -49.4	     2.1	
Feb 26 2004 12:00:00:000AM	     2.4	   -49.4	     2.2	
Feb 26 2004  3:00:00:000AM	     2.4	   -49.5	     1.9	
Feb 26 2004  6:00:00:000AM	     2.5	   -49.5	     2.6	
Feb 26 2004  9:00:00:000AM	     2.7	   -49.6	     3.2	
Feb 26 2004 12:00:00:000PM	     2.4	   -49.6	     3.5	
Feb 26 2004  3:00:00:000PM	     2.4	   -49.6	     3.2	
Feb 26 2004  6:00:00:000PM	     2.4	   -49.6	     3.3	
Feb 26 2004  9:00:00:000PM	     2.2	   -49.5	     2.8	
Feb 27 2004 12:00:00:000AM	     2.6	   -49.5	     2.3	
Feb 27 2004  3:00:00:000AM	     2.1	   -49.5	     1.5	
Feb 27 2004  6:00:00:000AM	     2.2	   -49.4	     1.4	
Feb 27 2004  9:00:00:000AM	     2.2	   -49.4	     0.9	
Feb 27 2004 12:00:00:000PM	     2.2	   -49.6	     0.4	
Feb 27 2004  3:00:00:000PM	     2.4	   -49.6	     1.2	
Feb 27 2004  6:00:00:000PM	     2.1	   -49.6	     0.5	
Feb 27 2004  9:00:00:000PM	     2.1	   -49.6	    -0.3	
Feb 28 2004 12:00:00:000AM	     2.0	   -49.5	    -1.1	
Feb 28 2004  3:00:00:000AM	     2.0	   -49.5	    -0.2	
Feb 28 2004  6:00:00:000AM	     2.0	   -49.5	    -3.1	
Feb 28 2004  9:00:00:000AM	     1.9	   -49.5	    -1.2	
Feb 28 2004 12:00:00:000PM	     1.8	   -49.5	    -2.4	
Feb 28 2004  3:00:00:000PM	     1.9	   -49.7	    -0.5	
Feb 28 2004  6:00:00:000PM	     2.0	   -49.9	    -0.7	
Feb 28 2004  9:00:00:000PM	     2.6	   -49.8	    -1.6	
Feb 29 2004 12:00:00:000AM	     2.9	   -49.7	    -1.3	
Feb 29 2004  3:00:00:000AM	     2.8	   -49.5	    -1.6	
Feb 29 2004  6:00:00:000AM	     2.5	   -49.5	    -1.4	
Feb 29 2004  9:00:00:000AM	     2.0	   -49.4	     0.2	
Feb 29 2004 12:00:00:000PM	     1.6	   -49.4	    -0.2	
Feb 29 2004  3:00:00:000PM	     1.7	   -49.2	    -0.9	
Feb 29 2004  6:00:00:000PM	     2.3	   -49.2	        	
Feb 29 2004  9:00:00:000PM	     2.3	   -49.2	     0.3	
Mar  1 2004 12:00:00:000AM	     2.3	   -49.3	     0.5	
Mar  1 2004  3:00:00:000AM	     2.3	   -49.2	        	
Mar  1 2004  6:00:00:000AM	     2.3	   -49.2	    -2.0	
Mar  1 2004  9:00:00:000AM	     2.3	   -49.2	    -2.5	
Mar  1 2004 12:00:00:000PM	     2.2	   -49.1	    -3.7	
Mar  1 2004  3:00:00:000PM	     2.1	   -49.0	    -2.5	
Mar  1 2004  6:00:00:000PM	     2.2	   -49.1	    -1.3	
Mar  1 2004  9:00:00:000PM	     2.1	   -49.3	     2.2	
Mar  2 2004 12:00:00:000AM	     2.1	   -49.1	     3.6	
Mar  2 2004  3:00:00:000AM	     2.1	   -49.0	     3.3	
Mar  2 2004  6:00:00:000AM	     2.1	   -49.0	     3.8	
