 DatumUhrzeit                           GeoLaenge             GeoBreite                U_Wind                V_Wind            Temperatur              Taupunkt            Dampfdruck             Luftdruck  GesamtBedeckung 
 06-02-04 03:00:00                           6.00                -47.10                 14.10                 -5.13                  7.50                  6.90                9.9542               1006.90                  
 06-02-04 06:00:00                           6.10                -46.60                 11.28                 -4.10                  7.90                  7.30               10.2315               1010.70                8 
 06-02-04 09:00:00                           6.00                -46.20                  9.53                 -5.50                  8.10                  7.40               10.3018               1014.30                8 
 06-02-04 12:00:00                           5.60                -46.10                  5.50                 -9.53                  8.50                  7.70               10.5155               1014.30                7 
 06-02-04 15:00:00                           5.30                -46.10                  1.39                 -7.88                  8.20                  7.40               10.3018               1012.90                7 
 06-02-04 18:00:00                           5.00                -46.20                 -1.74                 -9.85                  8.10                  7.30               10.2315               1011.30                8 
 06-02-04 21:00:00                           4.50                -46.20                 -7.00                -12.12                  7.90                  7.20               10.1615               1007.20                8 
 07-02-04 00:00:00                           4.10                -46.20                 -5.81                -15.97                  8.90                  8.30               10.9547                999.00                  
 07-02-04 03:00:00                           3.70                -46.20                  5.81                -15.97                 10.80                 10.30               12.5372                994.70                  
 07-02-04 06:00:00                           3.20                -46.20                  9.00                -15.59                 10.90                 10.30               12.5372                994.60                8 
 07-02-04 09:00:00                           2.90                -46.20                 11.49                 -9.64                  9.60                  9.10               11.5652                996.80                6 
 07-02-04 12:00:00                           2.60                -46.10                 13.02                -10.93                  9.80                  8.20               10.8804                998.50                0 
 07-02-04 15:00:00                           2.30                -46.10                 13.79                -11.57                  9.40                  6.40                9.6169               1000.00                1 
 07-02-04 18:00:00                           2.00                -46.10                 14.55                -12.21                  9.30                  5.10                8.7866               1001.10                0 
 07-02-04 21:00:00                           1.80                -46.10                 17.85                 -6.50                  8.10                  4.00                8.1341               1004.70                0 
 08-02-04 00:00:00                           1.70                -46.00                 17.85                 -6.50                  8.00                  3.50                7.8519               1007.60                  
 08-02-04 03:00:00                           1.50                -46.00                 16.74                 -2.95                  7.70                  3.60                7.9076               1010.60                  
 08-02-04 06:00:00                           1.30                -45.90                 11.28                 -4.10                  7.50                  4.10                8.1916               1013.20                2 
 08-02-04 09:00:00                           1.10                -45.90                  6.89                 -5.79                  7.60                  4.70                8.5442               1014.60                7 
 08-02-04 12:00:00                           1.30                -46.20                  2.74                 -7.52                  8.40                  5.30                8.9101               1013.70                8 
 08-02-04 15:00:00                           1.60                -46.60                  2.08                -11.82                  8.20                  6.20                9.4848               1009.00                7 
 08-02-04 18:00:00                           1.90                -47.20                  2.08                -11.82                  8.30                  6.70                9.8180               1003.80                7 
 08-02-04 21:00:00                           2.10                -47.70                  2.43                -13.79                  7.60                  6.30                9.5506                997.30                8 
 09-02-04 00:00:00                           2.10                -48.20                 10.39                 -6.00                  6.90                  6.00                9.3543                992.90                  
 09-02-04 03:00:00                           2.10                -48.70                 20.00                  0.00                  4.50                  2.00                7.0565                992.00                  
 09-02-04 06:00:00                           2.10                -49.10                 15.04                  5.47                  3.20                  0.60                6.3792                993.90                6 
 09-02-04 09:00:00                           2.10                -49.60                 16.00                  0.00                  2.80                 -1.50                5.4709                995.60                7 
 09-02-04 12:00:00                           2.00                -50.00                 16.74                 -2.95                  2.50                 -2.50                5.0801                995.40                2 
 09-02-04 15:00:00                           2.00                -50.50                 16.91                 -6.16                  2.50                 -2.00                5.2723                994.60                3 
 09-02-04 18:00:00                           2.00                -50.80                 16.00                  0.00                  2.10                 -0.60                5.8451                993.50                5 
 09-02-04 21:00:00                           1.70                -50.40                 19.00                  0.00                  2.60                 -0.60                5.8451                995.90                4 
 10-02-04 00:00:00                           1.60                -49.90                 17.73                 -3.13                  3.60                  0.10                6.1516                996.70                  
 10-02-04 03:00:00                           1.50                -49.40                 16.74                  2.95                  3.20                 -0.30                5.9748                998.60                  
 10-02-04 06:00:00                           2.20                -49.40                 13.00                  0.00                  3.90                 -0.90                5.7179                999.60                3 
 10-02-04 09:00:00                           3.10                -49.30                 14.77                 -2.60                  3.60                 -1.30                5.5522                999.30                6 
